"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.81940306876189,0.747,0.009,0,"8","Cldn10"
0,8.81103818723438,0.267,0.001,0,"8","Nr2e1"
0,8.80012484030397,0.411,0.021,0,"8","Entpd2"
0,10.4348192077689,0.348,0.011,0,"9","Calml3"
3.11197006252424e-110,8.96002646069224,0.503,0.136,7.14695044559317e-106,"9","Krt15"
1.38833745715937e-238,8.44323212725631,0.298,0.019,3.18845580411221e-234,"9","Trim29"
0,8.32844366202535,0.396,0.018,0,"9","Fxyd3"
1.04063622726733e-177,8.30882301824386,0.345,0.037,2.38992515954214e-173,"9","Aqp3"
7.04507855490838e-309,8.22010076045029,0.426,0.032,1.61797274092026e-304,"9","Lgals7"
7.83645669364995e-244,8.08187239254815,0.277,0.016,1.79972064426365e-239,"9","Dsp"
1.76858576328021e-282,7.9617556783278,0.426,0.036,4.06173406394934e-278,"9","Dmkn"
0,7.84566259940083,0.259,0.006,0,"9","Krt24"
0,7.74299466971691,0.375,0.019,0,"9","Col17a1"
0,12.7138045524672,0.5,0.017,0,"10","Nkg7"
0,12.6417724418674,0.271,0.001,0,"10","Xcl1"
0,11.9116208779384,0.409,0.008,0,"10","Cd3g"
0,11.7459990568877,0.36,0.008,0,"10","Cd3d"
0,11.6132648004256,0.287,0.004,0,"10","Sh2d2a"
0,11.5726378372674,0.284,0.009,0,"10","Cd8b1"
0,11.360256672528,0.412,0.01,0,"10","Lat"
0,11.3162137849531,0.262,0.008,0,"10","Cd8a"
0,11.0214081458252,0.314,0.01,0,"10","Gimap3"
0,10.8754679680097,0.405,0.01,0,"10","Ms4a4b"
0,12.651416340124,0.953,0.057,0,"11","Acta2"
0,12.0980939119206,0.995,0.03,0,"11","Myl9"
0,12.0249730895048,0.376,0.001,0,"11","Olfr558"
0,11.8597684379647,0.958,0.02,0,"11","Tagln"
0,11.8145128285602,0.803,0.003,0,"11","Lmod1"
0,11.2293344907515,0.258,0.001,0,"11","Sgca"
0,11.1542614707204,0.681,0.002,0,"11","Foxs1"
0,11.1017018000782,0.61,0.002,0,"11","Gpr20"
0,11.0318496393364,0.962,0.026,0,"11","Tpm2"
0,11.0127549153536,0.451,0.008,0,"11","Cnn1"
0,11.2029380469645,0.347,0.002,0,"12","Clec4b1"
0,10.9140273875475,0.383,0.005,0,"12","Mgl2"
0,10.0766079936872,1,0.084,0,"12","H2-Eb1"
0,9.86720360867543,1,0.117,0,"12","H2-Aa"
1.6555509237204e-242,9.46026559409467,1,0.172,3.80213825141627e-238,"12","H2-Ab1"
8.01776683902115e-204,8.84392816557185,1,0.217,1.8413603322496e-199,"12","Cd74"
0,8.26849585282313,0.719,0.021,0,"12","Plbd1"
0,7.91787535009818,0.563,0.009,0,"12","Clec12a"
0,7.87187782386577,0.287,0.003,0,"12","Sirpb1a"
0,7.79045913435228,0.365,0.004,0,"12","Ms4a7"
4.60967545008598e-92,12.5910923357058,0.25,0.008,1.05865806386675e-87,"13","Mmp8"
0,11.7341496239463,0.6,0.003,0,"13","Fpr2"
0,11.6903553433431,0.317,0.001,0,"13","Gm5150"
0,11.6194926392475,0.75,0.008,0,"13","Ifitm6"
1.05538022858578e-10,11.47388247458,0.317,0.097,2.4237862329701e-06,"13","S100a8"
3.22843256139007e-08,11.4386049668159,0.267,0.087,0.000741441822048844,"13","S100a9"
1.72812609804292e-81,11.2738550090815,0.283,0.012,3.96881439676537e-77,"13","Mmp9"
