"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type"
"Atp6v1a",1.35827499839705e-07,-0.74976059791017,0.258,0.382,0.00311941436131866,"Endothelial"
"Pop5",0.483671247161437,0.748946467007299,0.497,0.501,1,"Endothelial"
"Polr2f",0.028258206133597,0.748663992493483,0.352,0.415,1,"Endothelial"
"Hist1h1e",1.79747230993656e-08,-0.748475550049316,0.092,0.191,0.000412807490700031,"Endothelial"
"Cobra1",4.19207154036059e-06,-0.748026748112264,0.189,0.289,0.0962751149959213,"Endothelial"
"Lynx1",0.0159322525114923,0.747532821921832,0.075,0.113,1,"Endothelial"
"AI316807",0.375361192858711,0.747462838176665,0.125,0.145,1,"Endothelial"
"Exoc5",1.08832008974678e-10,-0.746986114994085,0.155,0.291,2.49943591811245e-06,"Endothelial"
"Phc3",0.000113517897830357,-0.746810336437434,0.14,0.216,1,"Endothelial"
"Tfpt",0.147731011071714,0.746669573109038,0.092,0.119,1,"Endothelial"
"Stx6",0.000686406549413712,-0.746628928579981,0.226,0.294,1,"Endothelial"
"Nceh1",0.0253000207936964,-0.74615049433263,0.073,0.105,1,"Endothelial"
"Mfsd1",6.45314988112925e-08,-0.745980693024055,0.139,0.249,0.00148203040170014,"Endothelial"
"Zzef1",0.0342946404101614,0.745460312500861,0.122,0.164,1,"Endothelial"
"Mapk1",6.2619101655299e-08,-0.745363346632905,0.227,0.35,0.0014381102886156,"Endothelial"
"Zfp512",0.154111610035304,-0.745341273500136,0.081,0.101,1,"Endothelial"
"Cmpk2",0.0020514206954834,-0.744995491061062,0.169,0.229,1,"Endothelial"
"Kif13a",7.80368322723862e-05,-0.744878250947029,0.062,0.119,1,"Endothelial"
"Plekhb2",0.112158993649128,0.744574042482237,0.077,0.101,1,"Endothelial"
"Pgp",0.385521285975877,0.744214822192432,0.198,0.185,1,"Endothelial"
"Nat6",0.634766977973991,0.744110807313238,0.194,0.212,1,"Endothelial"
"Rpl13",6.29751166372844e-13,0.743930931295692,0.955,0.975,1.44628652869187e-08,"Endothelial"
"Usp24",0.0474870760149964,0.743853980385936,0.076,0.107,1,"Endothelial"
"Ifngr2",0.95582459605255,0.743593572479951,0.1,0.101,1,"Endothelial"
"Rgs2",0.00017361642616126,0.74324858222934,0.052,0.105,1,"Endothelial"
"Lmo4",0.283989189866764,0.7430741297915,0.205,0.239,1,"Endothelial"
"Fmnl2",3.95599201788096e-07,-0.743018927480821,0.075,0.157,0.00908533126826541,"Endothelial"
"Spag9",1.43987450709789e-14,-0.742620110854256,0.387,0.591,3.30681579300101e-10,"Endothelial"
"Xpa",0.438968754899233,0.742417717277964,0.107,0.096,1,"Endothelial"
"Dock6",0.0933793657736151,0.742035747997723,0.221,0.272,1,"Endothelial"
"Tysnd1",0.000451370850590497,-0.741696556670011,0.072,0.124,1,"Endothelial"
"Myo10",1.31597267320181e-18,-0.741302383317283,0.397,0.62,3.02226284127527e-14,"Endothelial"
"6230427J02Rik",0.132953674685659,0.74089563600789,0.113,0.145,1,"Endothelial"
"Zfp423",0.0019371280126472,-0.740438229526906,0.111,0.168,1,"Endothelial"
"Lyn",4.88654304346582e-06,-0.740390959139679,0.172,0.268,0.112224347536236,"Endothelial"
"Chmp2a",0.0545010057672232,0.739612667192381,0.616,0.637,1,"Endothelial"
"Egln1",5.89792936713741e-05,-0.739557585337807,0.116,0.193,1,"Endothelial"
"Csda",3.65634534342131e-18,-0.739447744866881,0.318,0.553,8.39716271570138e-14,"Endothelial"
"Nsmce2",0.0945994391358205,0.739028879782428,0.114,0.088,1,"Endothelial"
"BC006779",0.181928792901821,0.738614246601755,0.177,0.157,1,"Endothelial"
"Zfp36",0.216895767973825,0.73857472517287,0.727,0.778,1,"Endothelial"
"Ttc28",0.0318051727062574,0.738203785357886,0.134,0.182,1,"Endothelial"
"Fam69a",0.00326616435549538,-0.73726188560097,0.17,0.228,1,"Endothelial"
"Rfwd2",0.00645156568474123,-0.737198657867878,0.095,0.14,1,"Endothelial"
"Slco1a4",3.02952137333691e-23,-0.736831953112184,0.879,0.95,6.95759878600555e-19,"Endothelial"
"Cab39l",0.000609706378195448,-0.736731217106275,0.113,0.176,1,"Endothelial"
"Sptlc2",0.0141711516328479,-0.736627121649395,0.203,0.252,1,"Endothelial"
"Rhog",0.602514774324386,0.736436523532097,0.305,0.312,1,"Endothelial"
"Mrps34",0.946890800120908,0.736101910666396,0.151,0.155,1,"Endothelial"
"Son",0.952461188629665,0.735620270110218,0.843,0.859,1,"Endothelial"
"Usp25",5.17992741540455e-08,-0.735531517806199,0.203,0.329,0.00118962213022181,"Endothelial"
"Eif2c1",0.000367823553403559,-0.735134376228028,0.066,0.119,1,"Endothelial"
"Scamp1",2.69650272331679e-10,-0.735133705169135,0.166,0.3,6.19278815436935e-06,"Endothelial"
"March7",2.62098108526136e-06,-0.735023589938381,0.102,0.187,0.0601934516041125,"Endothelial"
"Zfp931",0.0654765624790799,-0.734920144266238,0.091,0.119,1,"Endothelial"
"Pdcd5",0.152727937752554,0.734836169211233,0.361,0.426,1,"Endothelial"
"Nfx1",0.012370272729968,0.734322825464753,0.103,0.151,1,"Endothelial"
"Pdp1",0.066674941244652,-0.734279444719246,0.076,0.103,1,"Endothelial"
"Faf1",0.00151626653214605,-0.733702881114608,0.11,0.164,1,"Endothelial"
"Pgam1",6.05191769445827e-07,-0.733582854095446,0.293,0.407,0.0138988341770929,"Endothelial"
"Psmb2",0.0758557366398897,0.733350036120272,0.549,0.57,1,"Endothelial"
"Tmem115",0.000106633186118109,-0.733083467578802,0.145,0.22,1,"Endothelial"
"Tspan9",7.93792449853863e-09,-0.732720347380759,0.264,0.403,0.000182302374033438,"Endothelial"
"Cd200",5.1078116075678e-10,-0.73265550591195,0.702,0.759,1.17306001379402e-05,"Endothelial"
"Prps1",0.155599741503739,-0.732574085255137,0.084,0.105,1,"Endothelial"
"Cbll1",0.1456972986493,-0.732371320970608,0.087,0.109,1,"Endothelial"
"Fdx1",0.125165268646891,0.731953508877206,0.241,0.216,1,"Endothelial"
"Fam134b",3.05855328455846e-05,-0.731793072822245,0.078,0.145,0.702427347331696,"Endothelial"
"Arnt",0.477980883368885,-0.731783005627486,0.189,0.201,1,"Endothelial"
"Rab12",1.55527634912822e-08,-0.731352932530272,0.262,0.396,0.000357184766340788,"Endothelial"
"Erbb2ip",1.31890859846745e-06,0.731205533781128,0.186,0.293,0.0302900548724034,"Endothelial"
"Tbpl1",0.000562978546765869,-0.731175423983307,0.151,0.22,1,"Endothelial"
"Tmbim4",0.00313527334990223,0.73113736740131,0.436,0.386,1,"Endothelial"
"Armc10",0.000113323311264178,-0.730970586324674,0.08,0.143,1,"Endothelial"
