"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type"
"Csf1r",0.00299006258446897,6.11996749859931,0.083,0.204,1,"Astrocytes"
"Pld4",0.196184825050707,5.82715184574118,0.064,0.103,1,"Astrocytes"
"Tmem119",0.0111365507161377,5.78791315032502,0.051,0.134,1,"Astrocytes"
"Capg",0.242672398782732,5.5056141953444,0.071,0.109,1,"Astrocytes"
"Rragd",0.000154609634031586,-5.20946485631896,0.013,0.112,1,"Astrocytes"
"Gpr34",0.0821086488187164,5.11535797275214,0.051,0.103,1,"Astrocytes"
"Coro1a",0.0317626299153606,4.92218020522057,0.077,0.156,1,"Astrocytes"
"Fcrls",0.0901983673225739,4.80015003008035,0.058,0.112,1,"Astrocytes"
"Selplg",0.000184884187357351,4.74721112924593,0.109,0.279,1,"Astrocytes"
"Laptm5",3.50925774947886e-05,4.66751584504681,0.096,0.288,0.805936134745314,"Astrocytes"
"Pcdhgc5",5.01191633970355e-05,-4.57400218053217,0.013,0.123,1,"Astrocytes"
"Lnp",0.00133217095619728,-4.51848804314178,0.045,0.137,1,"Astrocytes"
"Nedd9",0.00261002022614409,-4.321302043035,0.026,0.103,1,"Astrocytes"
"Ptpn6",0.00968343417480847,4.30922692932941,0.038,0.115,1,"Astrocytes"
"Rac2",0.0268807436889774,4.30376039378106,0.051,0.12,1,"Astrocytes"
"C1qa",0.367767572422448,4.26933180621617,0.103,0.14,1,"Astrocytes"
"Psmb8",0.367053439206756,4.17811713033353,0.109,0.089,1,"Astrocytes"
"Gpr137b",0.0280886078861495,-4.17802260624565,0.045,0.101,1,"Astrocytes"
"Epha5",0.00372891044290676,-4.158829689226,0.038,0.117,1,"Astrocytes"
"Unc93b1",0.236846286360557,4.15657108328842,0.083,0.126,1,"Astrocytes"
"Cx3cr1",0.0937167113409959,4.12271971708151,0.064,0.12,1,"Astrocytes"
"C1qc",0.22105758181321,4.07138626631495,0.103,0.151,1,"Astrocytes"
"Sarnp",0.240444428947709,4.04228870071212,0.218,0.299,1,"Astrocytes"
"Nckap5",0.00656882737957996,-4.03995147961445,0.038,0.112,1,"Astrocytes"
"Pnpt1",0.000412662247542612,-4.0152171692003,0.013,0.101,1,"Astrocytes"
"Trim41",0.0143918008567208,-3.99848070491532,0.051,0.12,1,"Astrocytes"
"Ctss",0.0399133401996319,3.9965195509786,0.122,0.218,1,"Astrocytes"
"Suox",0.00191140492011181,-3.91705612003036,0.026,0.106,1,"Astrocytes"
"Cd34",0.0123677686605516,3.84648554045204,0.038,0.109,1,"Astrocytes"
"Serpinf1",0.00018300276560863,-3.84646775687641,0.013,0.112,1,"Astrocytes"
"Rpl30",0.000608118013009144,-3.84118387144823,0.019,0.109,1,"Astrocytes"
"Zcchc11",0.39368646077021,3.75147092671501,0.103,0.137,1,"Astrocytes"
"Iars2",2.77757971472439e-05,-3.70831476743836,0.019,0.142,0.637898957283604,"Astrocytes"
"Rnf4",0.000142079841161416,-3.63591287733577,0.077,0.212,1,"Astrocytes"
"Gmppa",0.0302286454023503,-3.60605228777358,0.051,0.109,1,"Astrocytes"
"Dcaf12",0.000396640571208756,-3.60406123906252,0.051,0.165,1,"Astrocytes"
"Ptgds",0.00092095167187223,3.60118577177034,0.071,0.198,1,"Astrocytes"
"Olfml3",0.0757410277631221,3.5963943413423,0.103,0.176,1,"Astrocytes"
"C4b",0.323595308289745,3.56249961639184,0.141,0.115,1,"Astrocytes"
"Fn3krp",5.72757154053089e-05,-3.51372435551851,0.013,0.123,1,"Astrocytes"
"Lyz2",1.13460927503203e-06,3.4747201330795,0.103,0.338,0.0260574366103855,"Astrocytes"
"C1qb",0.00468171937585739,3.4732875067905,0.096,0.215,1,"Astrocytes"
"Slc27a4",0.0373750827855041,-3.43662412652699,0.058,0.115,1,"Astrocytes"
"Ins2",4.04639917718546e-12,-3.42543323019386,0,0.257,9.29296035032413e-08,"Astrocytes"
"Cdk14",0.00010178469005723,-3.35629838612371,0.019,0.128,1,"Astrocytes"
"Ly6e",0.107569913498775,3.30321462398252,0.167,0.246,1,"Astrocytes"
"Ctsh",0.603795087610409,3.28457490111527,0.109,0.137,1,"Astrocytes"
"Stard3",0.00778311036544029,-3.24595748170191,0.051,0.126,1,"Astrocytes"
"Slc2a10",9.84779628452598e-05,-3.2407148993406,0.013,0.117,1,"Astrocytes"
"Tagln2",0.00369497293341375,3.17408848323445,0.103,0.223,1,"Astrocytes"
"Dcn",1.76731091522689e-17,-3.17325843491567,0.032,0.416,4.05880624791008e-13,"Astrocytes"
"Ifitm2",4.20709743079611e-05,-3.16596565423088,0.064,0.207,0.966201995956635,"Astrocytes"
"Fbxl17",0.000715640197571629,-3.14900706243112,0.064,0.176,1,"Astrocytes"
"Scn1b",0.00937671442549306,3.12088052779544,0.179,0.103,1,"Astrocytes"
"Dnalc1",0.060438286123746,3.10881230926497,0.103,0.059,1,"Astrocytes"
"Acta2",0.000114756285406096,-3.09701590040171,0.045,0.17,1,"Astrocytes"
"Mier3",5.29445799616002e-05,-3.06930017407639,0.045,0.176,1,"Astrocytes"
"Trak2",0.000493478914361839,-3.06636502899014,0.038,0.142,1,"Astrocytes"
"Emx2os",0.00968575906027885,-3.06411844176559,0.045,0.117,1,"Astrocytes"
"Usp46",4.20841765662992e-05,-3.04956070530934,0.019,0.14,0.966505199021628,"Astrocytes"
"Ngp",2.06561163432005e-07,3.04209794254655,0.006,0.17,0.00474388367937943,"Astrocytes"
"BC003331",7.8691067303594e-05,-3.03942531394987,0.096,0.24,1,"Astrocytes"
"Tsix",3.52337881319776e-06,3.03828870003883,0.244,0.095,0.0809179178238997,"Astrocytes"
"Hexb",0.0057963921696705,3.03011878297216,0.263,0.455,1,"Astrocytes"
"Rabepk",0.18965624527186,-3.02763938307258,0.071,0.103,1,"Astrocytes"
"Klhl17",0.0842132578872577,-3.00535210172764,0.064,0.112,1,"Astrocytes"
"Tyrobp",0.773177000655376,2.99874925879334,0.103,0.101,1,"Astrocytes"
"Dnajb14",0.00723325632873443,-2.98944703313215,0.045,0.12,1,"Astrocytes"
"Fam120c",0.0023487191409889,-2.97554452576664,0.064,0.159,1,"Astrocytes"
"Gm6548",0.0949065769409475,-2.9745120858905,0.058,0.101,1,"Astrocytes"
"Flnb",0.0147992116624429,2.96565806759017,0.045,0.117,1,"Astrocytes"
"Gabbr2",2.72127727846806e-05,-2.95999948890122,0.064,0.209,0.624968539772974,"Astrocytes"
"Csnk1g3",0.00317059070728465,-2.95247812126076,0.038,0.12,1,"Astrocytes"
"Acaa1b",0.120543265206034,2.91074781441746,0.135,0.089,1,"Astrocytes"
"Ube2q1",0.966320121126787,2.87697062458271,0.103,0.103,1,"Astrocytes"
"Ogdhl",2.29421983023092e-05,-2.86775852140075,0.058,0.207,0.526890526210833,"Astrocytes"
"Arhgdib",2.57361987328579e-05,2.85844573482959,0.038,0.187,0.591057540098815,"Astrocytes"
"Mapkapk2",0.00205678801563825,-2.85668867927901,0.026,0.106,1,"Astrocytes"
"Thap3",0.585974688744779,2.85164159133267,0.16,0.154,1,"Astrocytes"
"Sh3gl1",0.132386376374724,-2.83871960257671,0.071,0.112,1,"Astrocytes"
"Usp38",0.0024394168278977,-2.8198489120614,0.038,0.123,1,"Astrocytes"
"Cdadc1",0.000263424336265219,-2.80998746210363,0.026,0.128,1,"Astrocytes"
"Clec16a",0.00143619696945004,-2.79298232567088,0.019,0.101,1,"Astrocytes"
"Mib1",0.121827238230207,2.77838321444893,0.058,0.103,1,"Astrocytes"
"Sec23a",0.00143508509776758,-2.77788231114166,0.032,0.12,1,"Astrocytes"
"Pla2g12a",0.516230603725506,2.7760038634961,0.103,0.128,1,"Astrocytes"
"Dnajc9",0.202523282793787,2.75170199325801,0.167,0.134,1,"Astrocytes"
"Klkb1",1.92990610933154e-07,2.74917714660815,0.103,0.008,0.00443222237069082,"Astrocytes"
"Fam100a",0.557908093059181,2.74414110972079,0.103,0.126,1,"Astrocytes"
"Tmem107",0.00367288938551154,2.74063167265309,0.135,0.061,1,"Astrocytes"
"Dnajc2",0.000828763619924717,-2.72506263791954,0.019,0.106,1,"Astrocytes"
"Dleu2",0.00580873391389302,2.7245542644961,0.141,0.067,1,"Astrocytes"
"Tmem22",0.0275747333802362,-2.72381121140062,0.058,0.117,1,"Astrocytes"
"Zhx3",1.15800517018357e-05,-2.7185504680271,0.122,0.293,0.265947467384359,"Astrocytes"
"Gna12",4.93488755266019e-06,-2.71158069334256,0.077,0.249,0.113334627534394,"Astrocytes"
"Wdr89",0.135794176028196,2.7098052273802,0.199,0.142,1,"Astrocytes"
"Akt3",0.000531205439801976,-2.70526898181058,0.045,0.154,1,"Astrocytes"
"Bcl7a",0.0493188338688844,2.69404125667919,0.103,0.056,1,"Astrocytes"
"Fbxo33",0.117256003966504,-2.69252344751951,0.071,0.115,1,"Astrocytes"
"Rnf144a",8.9364714639577e-05,-2.68435743833836,0.064,0.198,1,"Astrocytes"
"Pi4kb",0.0890614353774386,-2.67309140525356,0.058,0.101,1,"Astrocytes"
"Nat6",0.516206278071363,2.66039247322982,0.128,0.115,1,"Astrocytes"
"Zfp131",0.0072061065344959,-2.64947871072495,0.045,0.12,1,"Astrocytes"
"Tiparp",3.94265720989628e-06,-2.63224113027567,0.122,0.302,0.090547065482478,"Astrocytes"
"Traf3",0.000191142119221964,-2.62974310649829,0.045,0.165,1,"Astrocytes"
"Tmsb10",0.00378529683482259,2.62605321477948,0.179,0.098,1,"Astrocytes"
"Abhd13",0.016974756873818,-2.62228361852995,0.045,0.109,1,"Astrocytes"
"Lrrc4b",0.990756519290085,2.61034045308356,0.237,0.246,1,"Astrocytes"
"Macrod1",0.84392181654177,2.60717511316702,0.103,0.101,1,"Astrocytes"
"4930444A02Rik",0.00445614603965051,-2.60584907423805,0.038,0.117,1,"Astrocytes"
"Hccs",0.0027869894504362,-2.60488461546573,0.032,0.112,1,"Astrocytes"
"Cd24a",0.495624442866765,2.5880556175081,0.077,0.101,1,"Astrocytes"
"Luc7l",0.127670226146334,2.5820649197074,0.103,0.159,1,"Astrocytes"
"Rarres2",0.00395251107493347,2.58051642216606,0.244,0.159,1,"Astrocytes"
"Ankrd26",0.00252849930116249,-2.57952827297476,0.026,0.103,1,"Astrocytes"
"Olfr613",5.1620279000666e-12,2.57089118071679,0.128,0,1.18551132752929e-07,"Astrocytes"
"Ifitm3",0.281327205598148,2.56138346877813,0.244,0.229,1,"Astrocytes"
"Elof1",0.412289727074488,2.55972895365454,0.199,0.184,1,"Astrocytes"
"Dlat",4.09697741262339e-07,-2.55047505446604,0.077,0.274,0.00940911832583089,"Astrocytes"
"Kdm6b",0.180261308375875,2.54740886331676,0.263,0.237,1,"Astrocytes"
"Fam20b",0.0188685055783071,-2.54104283357725,0.045,0.109,1,"Astrocytes"
"Tox2",0.00119752053306814,-2.53112648294277,0.045,0.142,1,"Astrocytes"
"Il17ra",0.604990483021146,2.52804471277523,0.115,0.14,1,"Astrocytes"
"Camk1",0.0654725187555544,2.52524448898644,0.192,0.142,1,"Astrocytes"
"Katnal1",0.000656187843251744,-2.51952610729618,0.026,0.12,1,"Astrocytes"
"Plp1",1.46599163931244e-09,-2.51882455920423,0.154,0.45,3.36679639884496e-05,"Astrocytes"
"Rrn3",0.418176493513762,2.51810283792382,0.109,0.142,1,"Astrocytes"
"Cpeb4",7.08410159909615e-05,-2.51239240883756,0.083,0.229,1,"Astrocytes"
"Adam22",0.019228906530416,2.51214227643338,0.141,0.078,1,"Astrocytes"
"Nsf",0.239215853696097,-2.51099907972925,0.115,0.151,1,"Astrocytes"
"Tnpo1",0.000449726760771665,-2.50942827963739,0.045,0.154,1,"Astrocytes"
"Tmcc3",0.00902304200119762,-2.48115130977911,0.115,0.201,1,"Astrocytes"
"Gon4l",0.0247436171397653,2.47397609312953,0.058,0.126,1,"Astrocytes"
"Amn1",0.00886344769531588,-2.47194322738328,0.045,0.117,1,"Astrocytes"
"Rpap3",0.777924079416301,-2.47065502047596,0.096,0.101,1,"Astrocytes"
"Chid1",0.000254342614387956,-2.4685959017935,0.019,0.12,1,"Astrocytes"
"Itsn2",0.00180005243630428,-2.46679045334298,0.09,0.198,1,"Astrocytes"
"Anxa2",6.53993347864591e-05,2.45585576218065,0.115,0.296,1,"Astrocytes"
"Zfp703",0.990800323401897,2.45463621367418,0.103,0.106,1,"Astrocytes"
"Spint2",0.12173172603811,2.44815708120102,0.071,0.123,1,"Astrocytes"
"Nup50",0.0478853745334228,-2.44093942693376,0.051,0.103,1,"Astrocytes"
"Commd10",0.000129991576877522,-2.44016963883049,0.026,0.137,1,"Astrocytes"
"Mllt6",0.134735648129097,2.42102058169886,0.173,0.128,1,"Astrocytes"
"Mipep",0.0285208576578327,-2.41941444455656,0.051,0.112,1,"Astrocytes"
"Syngr2",0.459143388230466,2.41116151011656,0.141,0.126,1,"Astrocytes"
"Vps16",0.00363323021586793,-2.40958118273378,0.026,0.101,1,"Astrocytes"
"Sept4",0.79158728098546,2.40499401611322,0.218,0.265,1,"Astrocytes"
"Prpsap1",0.700228501598478,2.40275667834494,0.199,0.196,1,"Astrocytes"
"Rgl1",0.00636455643167951,-2.40055169545377,0.038,0.112,1,"Astrocytes"
"Fam133b",0.51091985806153,2.39930402685322,0.128,0.112,1,"Astrocytes"
"Pmm2",0.0647091460736483,2.39717612717184,0.071,0.131,1,"Astrocytes"
"Pds5b",0.00108519497792856,-2.39659004109128,0.051,0.154,1,"Astrocytes"
"Snrpc",0.355392943517775,2.38549866081832,0.192,0.179,1,"Astrocytes"
"Dos",0.826616105319998,2.37569291638511,0.128,0.123,1,"Astrocytes"
"Tm4sf1",0.223341228485369,2.37526548757378,0.077,0.12,1,"Astrocytes"
"Cyba",0.637495452891377,2.3706959649352,0.16,0.159,1,"Astrocytes"
"Hdac5",0.00652635828706786,-2.36776361736234,0.051,0.131,1,"Astrocytes"
"Lars2",3.21759736730977e-30,-2.36503003316657,0.763,0.975,7.38953411376361e-26,"Astrocytes"
"Stard7",4.55475609266465e-07,-2.36450427047748,0.09,0.288,0.0104604528424136,"Astrocytes"
"Tmem161b",0.0208875518829043,-2.36336575812409,0.064,0.131,1,"Astrocytes"
"Prpf38a",0.00546071145307479,-2.36085187411659,0.032,0.106,1,"Astrocytes"
"Pik3ca",0.646084676903906,2.35951494132942,0.135,0.151,1,"Astrocytes"
"Ins1",2.5237528488588e-08,-2.35642862179739,0,0.176,0.000579605079268911,"Astrocytes"
"Clk2",0.00726049788745506,-2.35406633931655,0.045,0.12,1,"Astrocytes"
"Dpp3",0.00584833320473092,-2.35041685692052,0.038,0.115,1,"Astrocytes"
"Mbd2",0.617692946808931,2.34765995121728,0.122,0.145,1,"Astrocytes"
"Ptprt",0.00284536067753067,-2.34672032624169,0.058,0.151,1,"Astrocytes"
"Cep110",0.256260927653779,2.34667454474363,0.071,0.106,1,"Astrocytes"
"Foxp1",0.297977104049431,2.34380078446324,0.109,0.151,1,"Astrocytes"
"Ablim1",0.0697979294329283,2.33925267632353,0.141,0.226,1,"Astrocytes"
"Ttll3",0.0123967957394486,2.3384966796203,0.141,0.075,1,"Astrocytes"
"Lgmn",0.0118909524931752,2.33361982833274,0.282,0.466,1,"Astrocytes"
"Lsp1",0.159172177036213,2.32941253121032,0.058,0.101,1,"Astrocytes"
"Bgn",7.22744783868017e-05,-2.32927898960267,0.006,0.109,1,"Astrocytes"
"Snx14",0.00696519566567876,-2.32887797924399,0.179,0.271,1,"Astrocytes"
"Tram1l1",0.17161042134951,-2.32756353307928,0.077,0.112,1,"Astrocytes"
"Skiv2l",0.257591400882739,2.3233858499065,0.103,0.148,1,"Astrocytes"
"Ip6k2",0.986346784011438,2.32306129684561,0.122,0.134,1,"Astrocytes"
"Gusb",0.011553856628333,-2.32122148638389,0.051,0.126,1,"Astrocytes"
"Zfp839",0.0322639235933922,2.31782854648,0.103,0.053,1,"Astrocytes"
"Api5",0.00298040959693657,-2.31291096984869,0.096,0.198,1,"Astrocytes"
"Cebpb",0.498152248410233,2.31276979927423,0.141,0.128,1,"Astrocytes"
"Mtg1",0.00715208117443842,-2.31013959189008,0.045,0.12,1,"Astrocytes"
"Gcg",3.65233513008333e-09,-2.30847245626295,0.006,0.209,8.38795285974938e-05,"Astrocytes"
"Camk1d",0.0625742841036673,-2.30782632606003,0.058,0.106,1,"Astrocytes"
"Cd44",0.00201564561047388,-2.30390877563795,0.026,0.109,1,"Astrocytes"
"Slc33a1",0.0169363146024862,-2.30354472266886,0.103,0.179,1,"Astrocytes"
"Tmem62",0.000956089681335256,-2.30089586669093,0.038,0.134,1,"Astrocytes"
"Aifm1",0.0384974410659318,-2.30015489673018,0.077,0.137,1,"Astrocytes"
"Nxn",0.00060398822580119,-2.29505841338965,0.109,0.229,1,"Astrocytes"
"Nnat",0.531135852867737,2.29321041976252,0.423,0.559,1,"Astrocytes"
"Pum2",7.22554356287975e-05,-2.29156727422249,0.115,0.271,1,"Astrocytes"
"Cd38",0.000117702626958245,-2.28755884029674,0.058,0.187,1,"Astrocytes"
"Cyb5d2",0.0489969683860066,-2.28109419301968,0.064,0.12,1,"Astrocytes"
"Arid1b",0.424853152504263,2.28060521719624,0.135,0.173,1,"Astrocytes"
"Fyn",0.0035810244403061,-2.27722585260408,0.173,0.282,1,"Astrocytes"
"Pigu",0.0177350437672346,-2.27659164033487,0.064,0.134,1,"Astrocytes"
"Orc2",0.00523656106266905,-2.25898648057828,0.045,0.126,1,"Astrocytes"
"Cenpc1",0.0025445020115945,-2.2572190279106,0.026,0.106,1,"Astrocytes"
"Pltp",0.0245345666869171,2.23626253775647,0.288,0.226,1,"Astrocytes"
"BC017158",0.000134670834547512,-2.23410224851977,0.026,0.14,1,"Astrocytes"
"Ltf",1.59371563363868e-05,2.23379160129854,0.006,0.126,0.366012732421459,"Astrocytes"
"Cul2",0.0207921050345114,-2.23370074628395,0.045,0.106,1,"Astrocytes"
"Mtcp1",0.0689896545961799,2.23299285527953,0.122,0.075,1,"Astrocytes"
"Xist",2.017892908093e-08,2.23259384209546,0.25,0.073,0.000463429285272638,"Astrocytes"
"Arfgef1",0.38554331802349,2.2197743359454,0.141,0.117,1,"Astrocytes"
"Camk2a",0.867211720288447,2.20516159148053,0.16,0.159,1,"Astrocytes"
"Arpc1b",0.00578730775319026,2.20326266755579,0.071,0.17,1,"Astrocytes"
"1810030J14Rik",6.03598338602043e-06,-2.20195993565424,0.019,0.156,0.138622394443345,"Astrocytes"
"Ly86",0.343346717892605,2.19994700713044,0.071,0.101,1,"Astrocytes"
"1300010F03Rik",0.0177989938373205,-2.19921849469985,0.058,0.128,1,"Astrocytes"
"Camta2",0.355113112941637,2.19342816548127,0.16,0.137,1,"Astrocytes"
"Map2k3",0.00240371560067867,-2.18934826024127,0.032,0.117,1,"Astrocytes"
"Vapb",0.0610715917213941,2.18818813929113,0.135,0.212,1,"Astrocytes"
"Zfp704",0.0206664366052954,2.18217064801391,0.109,0.053,1,"Astrocytes"
"Wdr82",0.27712168699892,2.18074412118723,0.128,0.173,1,"Astrocytes"
"4632411B12Rik",0.575567114571153,2.17974787516977,0.109,0.134,1,"Astrocytes"
"Ubtf",0.000977337818081394,-2.17673565233135,0.103,0.221,1,"Astrocytes"
"Gpx3",0.0191905704042323,2.17595326110422,0.077,0.162,1,"Astrocytes"
"2010320M18Rik",0.142079307963378,2.16916791085901,0.135,0.095,1,"Astrocytes"
"Rbck1",0.000484259918166991,-2.16907835410708,0.051,0.165,1,"Astrocytes"
"Atp8a1",0.417192629708868,2.16618433682413,0.218,0.207,1,"Astrocytes"
"Tle1",0.00213450874227511,-2.16376676990254,0.115,0.221,1,"Astrocytes"
"Pmepa1",0.608942892743992,2.16326232669311,0.115,0.101,1,"Astrocytes"
"Ttc28",0.983826882821276,2.16022987846346,0.122,0.126,1,"Astrocytes"
"Tsr2",0.605020398277782,2.15866612865296,0.109,0.098,1,"Astrocytes"
"Cdh10",7.84925087619169e-05,-2.15796767541786,0.077,0.221,1,"Astrocytes"
"Adamts1",0.122844609345126,-2.15644310683891,0.071,0.115,1,"Astrocytes"
"Scfd1",0.000558582049314157,-2.15454682216878,0.051,0.162,1,"Astrocytes"
"Phf2",0.0556429547006146,-2.15289336480459,0.051,0.103,1,"Astrocytes"
"Anapc4",0.0235950552140949,-2.15186594548552,0.083,0.156,1,"Astrocytes"
"Dip2b",0.626835450731615,2.14940653814133,0.205,0.24,1,"Astrocytes"
"Mfhas1",1.22586711015272e-05,-2.14776274070312,0.083,0.246,0.281532640517674,"Astrocytes"
"Cotl1",0.704303631933048,2.13454025286669,0.333,0.358,1,"Astrocytes"
"Rundc3a",0.203068111866061,-2.12878355021244,0.09,0.123,1,"Astrocytes"
"Tmem127",0.000414083312251354,2.12398413928008,0.141,0.296,1,"Astrocytes"
"Dkc1",0.571000398062265,2.12380350983612,0.083,0.103,1,"Astrocytes"
"2310003F16Rik",0.996954150257985,-2.1215698527356,0.244,0.254,1,"Astrocytes"
"Senp7",0.608974074727436,2.1214979186329,0.083,0.101,1,"Astrocytes"
"Crip1",0.227308357159597,2.11535769711075,0.103,0.148,1,"Astrocytes"
"Cxx1a",0.738420358197191,2.10899735972393,0.128,0.12,1,"Astrocytes"
"Arl5a",0.00120743337438652,-2.10821053919595,0.045,0.142,1,"Astrocytes"
"Mars",0.00992959944832673,-2.10589801811329,0.103,0.193,1,"Astrocytes"
"Ccdc85a",1.75575413080441e-05,-2.09880635685172,0.013,0.137,0.403226493680541,"Astrocytes"
"Tbc1d23",0.0241522160960326,-2.09471222829988,0.051,0.115,1,"Astrocytes"
"Fam5c",0.0356136738795892,-2.09276814012054,0.09,0.151,1,"Astrocytes"
"Supt5h",0.46966843724064,2.09133004753872,0.141,0.168,1,"Astrocytes"
"Ccdc141",0.0049442546650878,-2.09126435166024,0.09,0.187,1,"Astrocytes"
"Gnai3",0.0315478489343457,-2.09087058574102,0.109,0.184,1,"Astrocytes"
"Tbc1d15",0.00382336308378108,-2.0904341765723,0.038,0.12,1,"Astrocytes"
"Cmpk1",0.000114088313433246,-2.08974603818297,0.077,0.215,1,"Astrocytes"
"Dcaf17",0.168577851746565,2.08895603468122,0.141,0.106,1,"Astrocytes"
"Hspb1",0.173962253045385,2.08502133566744,0.064,0.106,1,"Astrocytes"
"Mfsd1",0.0211386007630016,-2.08284530172426,0.115,0.193,1,"Astrocytes"
"Ddit3",0.666954875151699,2.08070078815639,0.109,0.128,1,"Astrocytes"
"Atp6v0a1",0.959519862720064,2.07474880459866,0.237,0.26,1,"Astrocytes"
"Unc13c",0.0120493149047194,2.07344434901422,0.038,0.109,1,"Astrocytes"
"Mettl16",0.044027797074756,-2.07333520101302,0.058,0.112,1,"Astrocytes"
"Uso1",0.841612402287794,2.07238116885893,0.122,0.12,1,"Astrocytes"
"Calu",4.11144347728609e-05,-2.06985352799895,0.167,0.33,0.944234108993525,"Astrocytes"
"Nek9",0.0997863077675354,-2.06324761848874,0.109,0.162,1,"Astrocytes"
"Usp42",0.239646505792232,2.0622472222534,0.071,0.109,1,"Astrocytes"
"Hyal1",0.00075854502672996,-2.0588686887863,0.032,0.128,1,"Astrocytes"
"Pard3",0.0319320353947817,2.05823674324478,0.051,0.112,1,"Astrocytes"
"Brms1l",6.1207072670943e-05,-2.05793205261593,0.013,0.123,1,"Astrocytes"
"Pomgnt1",0.00162339123918742,-2.05448525913872,0.032,0.12,1,"Astrocytes"
"Prpf4",0.0163653047087789,-2.05266592935948,0.038,0.101,1,"Astrocytes"
"Fndc3a",0.343827282387983,2.05045042138569,0.096,0.131,1,"Astrocytes"
"Ids",0.180464105731794,2.0492770113633,0.147,0.207,1,"Astrocytes"
"Glipr2",0.0811008676297263,-2.04056183158837,0.064,0.112,1,"Astrocytes"
"Gm6981",9.82958160601147e-07,2.0397093375285,0.532,0.355,0.0225746171163659,"Astrocytes"
"Rhoc",0.90771019878506,2.03499352963625,0.205,0.229,1,"Astrocytes"
"Uap1",0.00069919605693224,-2.03405432037411,0.019,0.109,1,"Astrocytes"
"Iapp",1.66609271338029e-06,-2.03223811374701,0,0.134,0.0382634852554917,"Astrocytes"
"Fam135a",0.21976897124974,-2.03090654320054,0.071,0.103,1,"Astrocytes"
"Rcan2",0.000743626108242684,-2.02791851991416,0.083,0.201,1,"Astrocytes"
"Slc5a3",0.00284136640266396,-2.0229333538411,0.058,0.154,1,"Astrocytes"
"Pitpnm2",0.32632568707957,2.02000817850387,0.141,0.196,1,"Astrocytes"
"Ngly1",0.0450293444895338,-2.01707033579734,0.051,0.106,1,"Astrocytes"
"Akap8l",0.622392047629362,2.01624128785575,0.16,0.154,1,"Astrocytes"
"Cnnm4",0.373766666418655,2.01563160677472,0.071,0.101,1,"Astrocytes"
"Krt15",8.19263363149775e-10,-2.01306612852719,0.019,0.246,1.88152023980977e-05,"Astrocytes"
"Gltscr2",0.525946836858717,-2.00958592930798,0.167,0.196,1,"Astrocytes"
"Ube3c",0.0027196737469016,-2.00619825498643,0.032,0.115,1,"Astrocytes"
"Bin1",0.330448773648515,2.00391058841907,0.103,0.142,1,"Astrocytes"
"2310010J17Rik",0.0162793564668904,2.00083408233092,0.122,0.061,1,"Astrocytes"
"Zdhhc4",0.0313235509998255,-2.00040588141612,0.051,0.112,1,"Astrocytes"
"Sec63",0.000340672908438084,-1.99697007708466,0.109,0.246,1,"Astrocytes"
"St5",0.143657313080281,1.99317799653104,0.096,0.148,1,"Astrocytes"
"Pigk",0.000489871017103292,-1.99310339210463,0.032,0.134,1,"Astrocytes"
"Phkb",0.000225450595440937,-1.99171377535805,0.096,0.237,1,"Astrocytes"
"Zfp532",0.0009195633030527,-1.9891369383144,0.032,0.126,1,"Astrocytes"
"Cops3",0.000724658932607928,-1.98799627088388,0.103,0.232,1,"Astrocytes"
"Thyn1",0.00868853041838402,1.97956921327681,0.173,0.098,1,"Astrocytes"
"Vps11",0.0107407323117153,-1.97677654710998,0.071,0.151,1,"Astrocytes"
"Pisd-ps1",0.502434048453101,-1.97671087123176,0.167,0.137,1,"Astrocytes"
"Mrps9",0.0458440871992019,1.97546384613399,0.051,0.112,1,"Astrocytes"
"Brf1",0.00169597865609941,-1.97511779753611,0.032,0.12,1,"Astrocytes"
"Mark3",2.89537346140209e-05,-1.97453372418443,0.141,0.307,0.664951469145603,"Astrocytes"
"Eml3",0.0724751715301981,-1.97263243776923,0.064,0.115,1,"Astrocytes"
"Adam11",0.0133338550480284,1.97246353146314,0.147,0.078,1,"Astrocytes"
"Tsc2",0.0169717861725856,1.97072947031618,0.096,0.179,1,"Astrocytes"
"Phyhd1",0.109404320930936,1.96676723419955,0.154,0.112,1,"Astrocytes"
"Slc22a4",0.866845370682159,1.96598005164666,0.115,0.109,1,"Astrocytes"
"Larp1",0.0531438412076863,1.96541786768746,0.09,0.162,1,"Astrocytes"
"Gcfc1",0.239237614377413,1.96384514183077,0.128,0.168,1,"Astrocytes"
"Pde4dip",0.00178193140229085,-1.96311372607633,0.071,0.176,1,"Astrocytes"
"Rcbtb1",0.0637022846360715,1.95651363798412,0.058,0.115,1,"Astrocytes"
"Pisd-ps3",0.00163291999854816,1.95572018831217,0.519,0.425,1,"Astrocytes"
"Sumf2",0.0507909059824607,1.95244178556051,0.147,0.089,1,"Astrocytes"
"Wdr48",0.0337040419516478,-1.95201654547887,0.058,0.117,1,"Astrocytes"
"Dcdc2b",0.873267268254884,1.94787187073094,0.103,0.109,1,"Astrocytes"
"Hdac7",0.0723245168409601,1.94386020943392,0.083,0.145,1,"Astrocytes"
"Dtx1",0.368989040853708,1.94263573122745,0.141,0.182,1,"Astrocytes"
"Ptms",0.888585450472373,1.94231542618039,0.519,0.64,1,"Astrocytes"
