"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.36811213368222,0.931,0.443,0,"0","Slc2a5"
0,1.42791132819752,0.966,0.514,0,"0","Fcrls"
0,1.26896295990776,0.968,0.518,0,"0","P2ry13"
0,1.16872710603495,0.94,0.496,0,"0","Ptgs1"
0,0.884473062111911,0.88,0.437,0,"0","Ltc4s"
0,0.891957025372706,0.881,0.44,0,"0","Lrrc3"
0,0.968725067407221,0.855,0.415,0,"0","Itgam"
0,0.953130502311865,0.772,0.335,0,"0","Crybb1"
0,0.932271479159042,0.919,0.484,0,"0","Abi3"
0,0.979619279048232,0.845,0.41,0,"0","Maf"
0,0.951837209169289,0.911,0.477,0,"0","Hpgds"
0,1.14325917613768,0.782,0.352,0,"0","Gal3st4"
0,1.05335030666815,0.893,0.463,0,"0","Cyth4"
0,0.726292275433335,0.94,0.515,0,"0","Adap2"
0,1.0232537972611,0.915,0.492,0,"0","Golm1"
0,0.907370974558655,0.886,0.463,0,"0","Tmem173"
0,1.0695530717151,0.795,0.375,0,"0","Rab3il1"
0,0.963175485018143,0.965,0.549,0,"0","Fcgr3"
0,0.877918875934982,0.923,0.509,0,"0","Slco2b1"
0,1.03535485193548,0.785,0.371,0,"0","Stab1"
0,0.794304663686891,0.844,0.43,0,"0","Susd3"
0,0.845736138877383,0.937,0.524,0,"0","Fam105a"
0,0.970301319029814,0.914,0.501,0,"0","Zfhx3"
0,0.768400936178748,0.835,0.423,0,"0","Csf3r"
0,0.801673447283874,0.876,0.464,0,"0","Inpp5d"
0,1.14912125016126,0.988,0.577,0,"0","Gpr34"
0,0.88420467707671,0.923,0.512,0,"0","Tgfbr1"
0,0.691369368720153,0.945,0.534,0,"0","Aif1"
0,0.768025883234994,0.894,0.487,0,"0","Mafb"
0,0.748631266157686,0.963,0.556,0,"0","Rgs10"
0,0.993238136677313,0.814,0.408,0,"0","Pla2g15"
0,0.893572106158832,0.985,0.582,0,"0","Lpcat2"
0,0.960631791672055,0.88,0.478,0,"0","Lyn"
0,0.844432407871795,0.945,0.543,0,"0","Sirpa"
0,0.705640721955601,0.881,0.48,0,"0","Lair1"
0,0.84261927128035,0.77,0.369,0,"0","Sall1"
0,0.790561419504045,0.862,0.462,0,"0","Fscn1"
0,0.664601790923555,0.864,0.464,0,"0","Hmha1"
0,0.759845144419927,0.86,0.46,0,"0","Sfpi1"
0,0.892162203431626,0.81,0.411,0,"0","P2ry6"
0,1.05073646783785,0.925,0.526,0,"0","Entpd1"
0,0.800369793938092,0.871,0.472,0,"0","Irf8"
0,1.04678181164091,0.775,0.379,0,"0","Hpgd"
0,0.669679199395608,0.99,0.594,0,"0","Trem2"
0,0.8538389574381,0.81,0.415,0,"0","Lag3"
0,1.00570810662447,0.983,0.589,0,"0","4632428N05Rik"
0,0.803195849889908,0.977,0.583,0,"0","Pld4"
0,0.755500973189684,0.844,0.451,0,"0","AF251705"
0,0.953347315458866,0.99,0.598,0,"0","Siglech"
0,0.889399830488039,0.723,0.331,0,"0","Gpr77"
0,0.590755253369814,0.962,0.571,0,"0","Cd68"
0,0.846571199762432,0.84,0.449,0,"0","Hk2"
0,1.06016096496872,0.999,0.61,0,"0","Tmem119"
0,0.76102048070756,0.809,0.421,0,"0","Alox5ap"
0,0.978329972799313,0.973,0.585,0,"0","Cd53"
0,0.842339776312672,0.865,0.477,0,"0","Il6ra"
0,1.10211478194454,0.992,0.604,0,"0","Olfml3"
0,0.678590811842851,0.989,0.602,0,"0","Ly86"
0,0.736579189582825,0.866,0.479,0,"0","Smap2"
0,0.852483936901796,0.826,0.44,0,"0","Cmtm6"
0,1.1337302889388,0.775,0.39,0,"0","Fermt3"
0,0.927344884683526,0.858,0.474,0,"0","Daglb"
